what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1363259921131
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1363259921132
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1363259921132
started,bundle,jd.ide.eclipse,0.1.3,"jd.ide.eclipse",1363259921132
os,sysinfo,,,"win32",1363259921135
arch,sysinfo,,,"x86_64",1363259921135
ws,sysinfo,,,"win32",1363259921135
locale,sysinfo,,,"en_US",1363259921135
processors,sysinfo,,,"4",1363259921135
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1363259921135
java.runtime.version,sysinfo,,,"1.7.0_03-b05",1363259921135
java.specification.name,sysinfo,,,"Java Platform API Specification",1363259921135
java.specification.vendor,sysinfo,,,"Oracle Corporation",1363259921135
java.specification.version,sysinfo,,,"1.7",1363259921135
java.vendor,sysinfo,,,"Oracle Corporation",1363259921135
java.version,sysinfo,,,"1.7.0_03",1363259921135
java.vm.info,sysinfo,,,"mixed mode",1363259921135
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1363259921135
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1363259921135
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1363259921135
java.vm.specification.version,sysinfo,,,"1.7",1363259921135
java.vm.vendor,sysinfo,,,"Oracle Corporation",1363259921135
java.vm.version,sysinfo,,,"22.1-b02",1363259921135
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1363259921145
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1363259921197
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1363259921212
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1363259921217
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1363259921219
started,bundle,com.android.ide.eclipse.base,20.0.3.v201208082019-427395,"com.android.ide.eclipse.base",1363259921254
started,bundle,org.eclipse.cdt.make.core,7.1.2.201202111925,"org.eclipse.cdt.make.core",1363259921296
started,bundle,org.eclipse.cdt.managedbuilder.core,8.0.2.201202111925,"org.eclipse.cdt.managedbuilder.core",1363259921369
started,bundle,org.eclipse.cdt.core,5.3.2.201202111925,"org.eclipse.cdt.core",1363259921442
