what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.backwardHistory",1360123370773
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360123386668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360123387905
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1360123427194
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1360123439761
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123445834
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123446331
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123446363
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123446396
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123446429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123446462
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1360123446695
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360123450880
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360123455046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360123457097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360123460964
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360123460973
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360123507666
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360123515200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360123519821
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1360123519830
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1360123524421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360123526486
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360123595460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124232813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124238381
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360124238391
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360124368934
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1360124406721
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1360124411534
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124518930
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124522470
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360124522481
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360124529860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124535348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124536940
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124539145
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124539267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124541618
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124547752
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360124547763
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360124555411
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124561596
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1360124565188
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1360124565198
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1360124571085
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1360124580099
