what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357099617397
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357099619642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357099621799
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357099621947
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357099639146
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357100177391
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357100202440
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357100246957
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357100264352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100276952
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100278792
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357100278941
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357100283250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100286606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100288134
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357100288143
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100317752
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100324948
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100335642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100337981
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100342964
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100345279
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100353293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100371075
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100373850
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100399298
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357100399715
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100405411
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100416432
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357100416441
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357100431823
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357100438020
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357100528267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100530745
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100531919
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357100533664
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1357100534513
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1357100534514
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1357100534515
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1357100534515
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.200.20111228-1245,"org.eclipse.m2e.editor.xml",1357100534516
stopped,bundle,org.eclipse.m2e.jdt,1.0.200.20111228-1245,"org.eclipse.m2e.jdt",1357100534516
stopped,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1357100534517
stopped,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1357100534517
stopped,bundle,com.android.ide.eclipse.ndk,20.0.3.v201208082019-427395,"com.android.ide.eclipse.ndk",1357100534517
