what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363316310959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363316361784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363316365695
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316367605
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316372847
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363316382657
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363316386049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363316386176
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316388431
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316391049
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363316395277
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316412632
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316419508
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316429243
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316436734
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363316464740
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363316465129
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316505492
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316510152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316516275
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316520672
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316552129
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316555377
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316568483
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316573275
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363316588389
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1363316603751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363316604162
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316629430
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316632723
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1363316667058
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363316683019
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363316698289
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316720395
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316730688
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363316741691
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363316751353
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363316751635
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363316768985
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363316790281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316793654
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316796414
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363316809584
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316832154
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316832539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316834627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316837182
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316841690
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316844262
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1363316851228
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316854684
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316855095
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363316855106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316856309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316858801
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363316858815
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316861665
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316866816
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1363316866827
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363316870063
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316877692
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316886728
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316894168
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316897482
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316901789
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316903670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363316904393
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363316904752
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316914795
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316934725
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363316944946
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363316946771
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316964642
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316966406
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316969853
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316980590
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1363316988650
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363316989761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317025363
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1363317031022
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317044854
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317062337
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363317071146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363317072930
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1363317094080
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1363317095174
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317110320
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317112951
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317118382
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317122467
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1363317125877
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317126316
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317126660
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317128131
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317128739
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317129179
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317129522
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317130051
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1363317130410
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1363317131220
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1363317131460
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1363317131676
