what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357535246076
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535250044
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1357535251817
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1357535254689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535256933
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535259661
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357535259824
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535265951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535289928
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535294612
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357535294623
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535297064
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1357535321466
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1357535321597
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535328153
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535331269
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357535331278
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535336281
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1357535337247
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535337836
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535344076
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535347318
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535350951
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535412418
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535423325
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535467970
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535471241
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357535471251
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1357535501354
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535526761
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1357535531716
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1357535531725
